Date,Open,High,Low,Close,Adj,CloseVolume
1993-08-01,9.609375,10.406250,9.578125,10.281250,3.367954,53794400
1993-09-01,10.281250,10.281250,9.375000,9.875000,3.234874,46356800
1993-10-01,9.875000,11.468750,9.875000,11.437500,3.746719,68988000
1993-11-01,11.437500,11.640625,10.343750,10.656250,3.543347,84158400
1993-12-01,10.687500,11.343750,10.468750,11.125000,3.699214,51809600
1994-01-01,11.125000,13.156250,11.093750,13.015625,4.327873,81671200
1994-02-01,13.031250,14.015625,12.796875,13.546875,4.565131,86364000
1994-03-01,13.546875,15.187500,13.250000,14.046875,4.733623,106557600
1994-04-01,14.046875,15.156250,12.468750,13.734375,4.628315,97737600
1994-05-01,13.734375,14.171875,13.093750,13.359375,4.551450,81404800
1994-06-01,13.281250,13.843750,12.500000,12.500000,4.258667,74160800
1994-07-01,12.500000,13.890625,12.500000,13.546875,4.615328,51587200
1994-08-01,13.578125,14.562500,12.859375,14.421875,5.024057,75243200
1994-09-01,14.359375,14.468750,13.187500,13.531250,4.713796,62665600
1994-10-01,13.531250,15.000000,13.093750,14.937500,5.203682,67134800
1994-11-01,14.937500,14.937500,12.843750,13.531250,4.765196,72944400
1994-12-01,13.468750,13.843750,12.656250,13.781250,4.853237,55276000
1995-01-01,13.781250,14.718750,12.843750,12.843750,4.523086,84657600
1995-02-01,12.843750,13.593750,12.687500,12.906250,4.626619,59072800
1995-03-01,12.781250,14.343750,12.062500,13.875000,4.973897,110460000
1995-04-01,13.875000,14.625000,13.750000,14.625000,5.242756,60697600
1995-05-01,14.562500,15.968750,13.812500,15.062500,5.597963,92253200
1995-06-01,15.062500,16.312500,14.718750,16.062500,5.969614,69166800
1995-07-01,16.062500,18.812500,16.031250,17.593750,6.538701,61182000
1995-08-01,17.562500,17.562500,15.562500,16.781250,6.357211,66249600
1995-09-01,16.781250,17.500000,14.031250,14.218750,5.386466,78827600
1995-10-01,14.218750,14.250000,12.687500,14.187500,5.374627,89720800
1995-11-01,14.187500,15.593750,13.781250,15.343750,5.975076,60242800
1995-12-01,15.343750,15.781250,14.312500,14.687500,5.719522,48469600
1996-01-01,14.687500,16.218750,13.500000,16.093750,6.267138,106850400
1996-02-01,16.093750,18.000000,15.406250,16.687500,6.670493,69836800
1996-03-01,16.687500,18.468750,16.375000,17.000000,6.795409,63321200
1996-04-01,17.000000,17.968750,15.906250,16.031250,6.408172,57675600
1996-05-01,16.031250,17.406250,15.500000,16.406250,6.696445,66125200
1996-06-01,16.375000,17.437500,16.031250,16.937500,6.913283,48546800
1996-07-01,16.937500,17.718750,15.687500,16.468750,6.721957,69621600
1996-08-01,16.468750,18.031250,16.437500,17.218750,7.203373,42735200
1996-09-01,17.218750,18.968750,16.875000,18.843750,7.883178,41004800
1996-10-01,18.812500,19.375000,17.062500,17.156250,7.177225,71382400
1996-11-01,17.218750,20.250000,17.218750,19.781250,8.456385,65464800
1996-12-01,19.781250,19.906250,18.375000,18.812500,8.042251,49194800
1997-01-01,18.531250,19.937500,18.125000,19.406250,8.296077,75284400
